Category Name,URL,Level
Robes,https://www.fruugo.co.uk/robes/a-2302,Level 4
Pajamas,https://www.fruugo.co.uk/pajamas/a-2580,Level 4
Nightgowns,https://www.fruugo.co.uk/nightgowns/a-5513,Level 4
Loungewear,https://www.fruugo.co.uk/loungewear/a-5713,Level 4
Swimwear,https://www.fruugo.co.uk/swimwear/a-211,Level 3
Shirts & Tops,https://www.fruugo.co.uk/shirts-tops/a-212,Level 3
Underwear & Socks,https://www.fruugo.co.uk/underwear-socks/a-213,Level 3
Shapewear,https://www.fruugo.co.uk/shapewear/a-1578,Level 4
Lingerie,https://www.fruugo.co.uk/lingerie/a-1772,Level 4
Long Johns,https://www.fruugo.co.uk/long-johns/a-1807,Level 4
Socks,https://www.fruugo.co.uk/socks/a-209,Level 4
Bras,https://www.fruugo.co.uk/bras/a-214,Level 4
Hosiery,https://www.fruugo.co.uk/hosiery/a-215,Level 4
Underwear,https://www.fruugo.co.uk/underwear/a-2562,Level 4
Lingerie Accessories,https://www.fruugo.co.uk/lingerie-accessories/a-2563,Level 4
Garters,https://www.fruugo.co.uk/garters/a-1675,Level 5
Garter Belts,https://www.fruugo.co.uk/garter-belts/a-2160,Level 5
Undershirts,https://www.fruugo.co.uk/undershirts/a-2745,Level 4
Petticoats & Pettipants,https://www.fruugo.co.uk/petticoats-pettipants/a-2963,Level 4
Jock Straps,https://www.fruugo.co.uk/jock-straps/a-5327,Level 4
Underwear Slips,https://www.fruugo.co.uk/underwear-slips/a-5834,Level 4
Bra Accessories,https://www.fruugo.co.uk/bra-accessories/a-7207,Level 4
Bra Strap Pads,https://www.fruugo.co.uk/bra-strap-pads/a-7208,Level 5
Breast Petals & Concealers,https://www.fruugo.co.uk/breast-petals-concealers/a-7209,Level 5
Clothing - Shirts & Tops,https://www.fruugo.co.uk/clothing-shirts-tops/c-ws75621130,Level 3 (WS)
Clothing - Coats & Outerwear,https://www.fruugo.co.uk/clothing-coats-outerwear/c-ws01974794,Level 3 (WS)
Clothing - Underwear & Socks,https://www.fruugo.co.uk/clothing-underwear-socks/c-ws66076989,Level 3 (WS)
Clothing - Pants,https://www.fruugo.co.uk/clothing-pants/c-ws25628579,Level 3 (WS)
"Clothing - Dresses, Skirts & Skorts",https://www.fruugo.co.uk/clothing-dresses-skirts-skorts/c-ws11236874,Level 3 (WS)
Clothing - Shorts,https://www.fruugo.co.uk/clothing-shorts/c-ws72892323,Level 3 (WS)
Clothing - Suits,https://www.fruugo.co.uk/clothing-suits/c-ws51022704,Level 3 (WS)
Unclassified,https://www.fruugo.co.uk/unclassified/a-100000000,Level 1
